pdb_id,filename,num_frames
5jeaJ03,5jeaJ03_R3_i1.npy,500
4n73A00,4n73A00_R3_i1.npy,500
3pmgA02,3pmgA02_R3_i1.npy,500
4dcmA01,4dcmA01_R0_i1.npy,500
3f84B02,3f84B02_R1_i1.npy,500
2m7aA00,2m7aA00_R1_i1.npy,500
3i01A03,3i01A03_R1_i1.npy,500
3ldhA02,3ldhA02_R2_i1.npy,500
2jodA01,2jodA01_R3_i1.npy,500
4nbzA00,4nbzA00_R3_i1.npy,500
2zm5A02,2zm5A02_R1_i1.npy,500
2yilA02,2yilA02_R2_i1.npy,500
2xkgA00,2xkgA00_R1_i1.npy,500
2ys4A01,2ys4A01_R3_i1.npy,500
2dnoA00,2dnoA00_R1_i1.npy,500
2hf5A00,2hf5A00_R0_i1.npy,500
3l2pA03,3l2pA03_R2_i1.npy,500
5b1oA00,5b1oA00_R2_i1.npy,500
2ys9A00,2ys9A00_R1_i1.npy,500
4hvzA02,4hvzA02_R1_i1.npy,500
3klqA01,3klqA01_R2_i1.npy,500
4g1iA03,4g1iA03_R2_i1.npy,500
2vxgB02,2vxgB02_R2_i1.npy,500
3km5A00,3km5A00_R3_i1.npy,500
4ysxA04,4ysxA04_R3_i1.npy,500
4qbnA00,4qbnA00_R2_i1.npy,500
2hc8A00,2hc8A00_R3_i1.npy,500
3v7oA00,3v7oA00_R0_i1.npy,500
2m8eA00,2m8eA00_R2_i1.npy,500
2pjpA02,2pjpA02_R2_i1.npy,500
2ja4A00,2ja4A00_R2_i1.npy,500
4cm2A02,4cm2A02_R1_i1.npy,500
2e8oA01,2e8oA01_R3_i1.npy,500
2rpaA00,2rpaA00_R2_i1.npy,500
3s93A00,3s93A00_R1_i1.npy,500
2eyqA05,2eyqA05_R1_i1.npy,500
4h9qC00,4h9qC00_R3_i1.npy,500
4cfsA02,4cfsA02_R0_i1.npy,500
4bjjA00,4bjjA00_R2_i1.npy,500
2jspA01,2jspA01_R1_i1.npy,500
4kx6C00,4kx6C00_R3_i1.npy,500
2vgqA03,2vgqA03_R3_i1.npy,500
3qdkA02,3qdkA02_R0_i1.npy,500
2kmuA00,2kmuA00_R1_i1.npy,500
3x3eB02,3x3eB02_R1_i1.npy,500
3eqnA02,3eqnA02_R1_i1.npy,500
4u99B00,4u99B00_R1_i1.npy,500
2eecA01,2eecA01_R0_i1.npy,500
5ts9B00,5ts9B00_R3_i1.npy,500
2lcjA00,2lcjA00_R1_i1.npy,500
2mdiA00,2mdiA00_R2_i1.npy,500
2kpyA01,2kpyA01_R3_i1.npy,500
2ewfA03,2ewfA03_R0_i1.npy,500
2qfpA01,2qfpA01_R0_i1.npy,500
2j22A00,2j22A00_R3_i1.npy,500
3hvnA04,3hvnA04_R2_i1.npy,500
4msxA01,4msxA01_R2_i1.npy,500
3k6sC02,3k6sC02_R2_i1.npy,500
4hdjA00,4hdjA00_R1_i1.npy,500
2qlcA00,2qlcA00_R0_i1.npy,500
4j3vA04,4j3vA04_R3_i1.npy,500
3safA02,3safA02_R1_i1.npy,500
3aqpA03,3aqpA03_R0_i1.npy,500
2p84A01,2p84A01_R2_i1.npy,500
3n6rA04,3n6rA04_R2_i1.npy,500
2jzvA00,2jzvA00_R0_i1.npy,500
4fcyA01,4fcyA01_R2_i1.npy,500
3bpqD00,3bpqD00_R0_i1.npy,500
2yskA00,2yskA00_R3_i1.npy,500
4n3gA02,4n3gA02_R2_i1.npy,500
5b0hA00,5b0hA00_R2_i1.npy,500
3uzuA02,3uzuA02_R0_i1.npy,500
3j7yg00,3j7yg00_R3_i1.npy,500
2yysA00,2yysA00_R2_i1.npy,500
2cndA01,2cndA01_R2_i1.npy,500
2k2wA00,2k2wA00_R0_i1.npy,500
4mypA00,4mypA00_R3_i1.npy,500
4wqkA00,4wqkA00_R2_i1.npy,500
2gy5A01,2gy5A01_R1_i1.npy,500
2jh3A04,2jh3A04_R0_i1.npy,500
2wlgB00,2wlgB00_R1_i1.npy,500
2gjvA00,2gjvA00_R3_i1.npy,500
2vn8A02,2vn8A02_R3_i1.npy,500
2j3fD02,2j3fD02_R2_i1.npy,500
3zfnA02,3zfnA02_R3_i1.npy,500
2o5iC06,2o5iC06_R2_i1.npy,500
2lhfA00,2lhfA00_R3_i1.npy,500
3zheA02,3zheA02_R1_i1.npy,500
4hq1A02,4hq1A02_R0_i1.npy,500
2qi2A03,2qi2A03_R2_i1.npy,500
4da2A01,4da2A01_R0_i1.npy,500
2vsyA01,2vsyA01_R0_i1.npy,500
